Week	Day	Team1	Team2	B1	B2	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	Result	Patch	Notes	Link	Region
1	1	UOL	FNC	Rumble,Hecarim,Azir	Cassiopeia,Morgana,Thresh	Kalista	Maokai,Annie	Nunu,Kog'Maw	Gragas,Ashe	Gnar,Alistar	LeBlanc	2	5.9		fUTCX01vmdo	EU
1	1	GIA	OG	Lulu,Maokai,Rek'Sai	Urgot,Jax,Gragas	LeBlanc	Gnar,Thresh	Sejuani,Ashe	Morgana,Kalista	Rumble,Alistar	Evelynn	2	5.9		XoNxW8P2ycA	EU
1	1	GMB	EL	Kalista,Rek'Sai,LeBlanc	Cassiopeia,Gragas,Viktor	Azir	Lucian,Thresh	Gnar,Evelynn	Maokai,Alistar	Sejuani,Urgot	Vladimir	2	5.9		7h_Y8kd1l-s	EU
1	1	H2K	ROC	Urgot,Azir,Alistar	Thresh,LeBlanc,Maokai	Kalista	Rek'Sai,Morgana	Gnar,Fizz	Hecarim,Cassiopeia	Gragas,Lucian	Lulu	1	5.9		QCMslrPqSdw	EU
1	1	CW	SK	LeBlanc,Rek'Sai,Urgot	Cassiopeia,Gragas,Kalista	Evelynn	Maokai,Azir	Draven,Morgana	Gnar,Alistar	Lee Sin,Kassadin	Lucian	1	5.9		9niZ1T3N5yM	EU
1	2	OG	H2K	Ashe,Rek'Sai,Thresh	Alistar,Kalista,Urgot	Gragas	LeBlanc,Annie	Rumble,Vayne	Maokai,Sivir	Evelynn,Janna	Kassadin	1	5.9		n3YTsvy5Io4	EU
1	2	GIA	CW	Cassiopeia,Draven,Maokai	LeBlanc,Jax,Rek'Sai	Kalista	Jarvan IV,Morgana	Gnar,Xerath	Gragas,Azir	Urgot,Nautilus	Rumble	1	5.9		qxWk8qCsG90	EU
1	2	ROC	GMB	Gragas,Lucian,Rek'Sai	Kalista,Urgot,Sejuani	Azir	Maokai,Alistar	Lee Sin,Kog'Maw	Viktor,Thresh	Jax,Volibear	Ezreal	1	5.9		ygcVm-fT9Xg	EU
1	2	FNC	SK	Urgot,Kassadin,LeBlanc	Hecarim,Rumble,Gragas	Rek'Sai	Gnar,Alistar	Cassiopeia,Ashe	Azir,Kalista	Maokai,Nidalee	Bard	1	5.9		4-q2s0LtP6A	EU
1	2	EL	UOL	Cassiopeia,Morgana,Thresh	LeBlanc,Alistar,Kalista	Sivir	Rek'Sai,Nautilus	Rumble,Viktor	Gragas,Annie	Urgot,Maokai	Kog'Maw	2	5.9		Gza-be8Qw7Y	EU
2	1	EL	GIA	Rek'Sai,Jax,Ryze	Vladimir,LeBlanc,Gragas	Alistar	Hecarim,Kog'Maw	Sejuani,Viktor	Evelynn,Morgana	Maokai,Sivir	Diana	2	5.10	Ekko Disabled for Week 2	WK8opGt0FAQ	EU
2	1	FNC	ROC	Lulu,Alistar,Kalista	Hecarim,Rek'Sai,Rumble	Ryze	Azir,Nautilus	Evelynn,Ezreal	Gragas,Urgot	Maokai,Morgana	Irelia	1	5.10	Ekko Disabled for Week 2	FJxLXVHdo1s	EU
2	1	H2K	GMB	Viktor,Azir,Lucian	Maokai,Sivir,Ryze	Thresh	Rek'Sai,Kalista	Rumble,LeBlanc	Gragas,Lulu	Fizz,Ashe	Volibear	1	5.10	Ekko Disabled for Week 2	zhqBxyFdax0	EU
2	1	SK	OG	Alistar,Ryze,Gragas	Rek'Sai,Hecarim,LeBlanc	Evelynn	Azir,Kalista	Maokai,Nautilus	Rumble,Thresh	Sejuani,Urgot	Vladimir	2	5.10	Ekko Disabled for Week 2	L5TBbttNuVQ	EU
2	1	UOL	CW	Draven,Azir,Kalista	Kog'Maw,Varus,Rek'Sai	Cassiopeia	Ryze,Sivir	Gragas,Morgana	Maokai,Evelynn	Kassadin,Lucian	Bard	1	5.10	Ekko Disabled for Week 2	mrLtt8-e8z0	EU
2	2	GMB	FNC	Rumble,Hecarim,Kalista	Thresh,Lucian,Viktor	Ryze	Gragas,Alistar	Ahri,Sivir	Rek'Sai,Azir	Ezreal,Morgana	Cho'Gath	2	5.10	Ekko Disabled for Week 2	vS98onrq8EU	EU
2	2	GIA	SK	Kalista,LeBlanc,Gragas	Ryze,Azir,Rek'Sai	Evelynn	Ezreal,Morgana	Jax,Kog'Maw	Rumble,Alistar	Sejuani,Sivir	Zed	1	5.10	Ekko Disabled for Week 2	eAP6gWVILWA	EU
2	2	UOL	ROC	Lulu,Azir,Alistar	Ryze,Morgana,Kalista	Gragas	Kog'Maw,Sivir	Nocturne,Annie	Maokai,Thresh	Rek'Sai,LeBlanc	Lucian	1	5.10	Ekko Disabled for Week 2	J6Tkglz5ufk	EU
2	2	H2K	EL	Urgot,Alistar,LeBlanc	Ryze,Maokai,Kalista	Thresh	Rumble,Rek'Sai	Orianna,Sivir	Gnar,Gragas	Lucian,Janna	Kassadin	1	5.10	Ekko Disabled for Week 2	GgNMD_jtof0	EU
2	2	OG	CW	Cassiopeia,Draven,Alistar	LeBlanc,Rumble,Ryze	Kalista	Gragas,Thresh	Hecarim,Vladimir	Maokai,Morgana	Evelynn,Ashe	Azir	1	5.10	Ekko Disabled for Week 2	B67IEziVLrs	EU
3	1	OG	UOL	Kog'Maw,Morgana,Ekko	Alistar,Urgot,LeBlanc	Gragas	Fizz,Sivir	Orianna,Nautilus	Ryze,Thresh	Rek'Sai,Kalista	Cassiopeia	1	5.10		entnXUkMp5k	EU
3	1	ROC	GIA	Gragas,Kalista,Ekko	Ryze,Rek'Sai,LeBlanc	Alistar	Azir,Kog'Maw	Rumble,Lee Sin	Evelynn,Morgana	Varus,Ezreal	Jax	2	5.10		YnjIDFpQDXo	EU
3	1	SK	H2K	Ryze,Kalista,Kassadin	LeBlanc,Kog'Maw,Ekko	Rek'Sai	Viktor,Janna	Dr.Mundo,Vayne	Rumble,Sivir	Gragas,Annie	Twisted Fate	2	5.10		5AyOoOl3AhY	EU
3	1	FNC	EL	Vladimir,Kassadin,LeBlanc	Rumble,Ryze,Alistar	Kalista	Rek'Sai,Morgana	Hecarim,Azir	Gragas,Ekko	Fizz,Bard	Vayne	1	5.10		hz8LmrFVNHU	EU
3	1	CW	GMB	LeBlanc,Hecarim,Fizz	Maokai,Morgana,Ryze	Ekko	Rumble,Alistar	Kog'Maw,Lucian	Rek'Sai,Azir	Gragas,Corki	Nautilus	2	5.10		gRCTGxNQ1IU	EU
3	2	FNC	GIA	Jax,Morgana,Thresh	Ryze,Rumble,Alistar	Ekko	LeBlanc,Sivir	Rek'Sai,Leona	Gragas,Nautilus	Lulu,Lucian	Renekton	1	5.10		DaWkxdDQEys	EU
3	2	ROC	OG	Kalista,Gragas,Ekko	Ryze,Rek'Sai,LeBlanc	Sivir	Rumble,Nautilus	Lee Sin,Azir	Fizz,Alistar	Evelynn,Lucian	Vladimir	1	5.10		9jJEsnA9oRI	EU
3	2	EL	CW	Draven,Maokai,Alistar	LeBlanc,Fizz,Ryze	Ekko	Gragas,Thresh	Hecarim,Ashe	Rek'Sai,Kalista	Vladimir,Morgana	Azir	2	5.10		LBGtV2VZ5hg&	EU
3	2	GMB	SK	LeBlanc,Maokai,Azir	Ryze,Morgana,Gnar	Rek'Sai	Lulu,Corki	Hecarim,Taric	Gragas,Alistar	Shyvana,Kalista	Vladimir	1	5.10		FKoe9kv7730	EU
3	2	UOL	H2K	Kalista,Fizz,Rek'Sai	Kog'Maw,Morgana,Ryze	Sivir	Maokai,Ekko	Orianna,Annie	Gragas,Thresh	Rumble,Jinx	Lulu	2	5.10		YLM4eDbRJxY	EU
4	1	GIA	GMB	Gragas,Hecarim,Ryze	Morgana,Maokai,Jax	Rek'Sai	Rumble,Alistar	Diana,Kalista	Nidalee,Corki	Fizz,Bard	Lulu	2	5.11		c1GbLoMBQWc	EU
4	1	EL	ROC	Azir,Rumble,Jayce	Kalista,Ekko,Ryze	Sivir	Gragas,Alistar	Hecarim,Vladimir	Fizz,Rek'Sai	Corki,Bard	Lulu	1	5.11		h3KnK2alDNk	EU
4	1	OG	FNC	Rumble,Jayce,Ryze	Alistar,Thresh,Morgana	Hecarim	Gragas,Azir	Sivir,Annie	Ekko,Kalista	Olaf,Janna	Viktor	2	5.11		mY_o6n2F_0c	EU
4	1	SK	UOL	Kog'Maw,Gragas,Ryze	Azir,Rek'Sai,LeBlanc	Ekko	Caitlyn,Lulu	Gnar,Cassiopeia	Kalista,Alistar	Shen,Lee Sin	Orianna	1	5.11		X9hJKzoIZSs	EU
4	1	CW	H2K	Fizz,Sivir,Rumble	Draven,Kalista,Azir	Ryze	Ekko,Jayce	Caitlyn,Alistar	Rek'Sai,Thresh	Gnar,Jinx	Lulu	2	5.11		OALLuIbjibQ	EU
4	2	SK	ROC	Gragas,Jayce,Azir	Rek'Sai,Kalista,Ekko	Lee Sin	Cassiopeia,Lulu	Shen,Vayne	Sivir,Alistar	Nidalee,Viktor	Gnar	1	5.11		YSfnrY_k5YE	EU
4	2	H2K	GIA	Jax,Morgana,Xerath	Rek'Sai,Rumble,Kalista	Sivir	Gnar,Gragas	Fizz,Alistar	Ekko,Thresh	Evelynn,Ezreal	Vayne	1	5.11		qeVrbkTMHEc	EU
4	2	CW	FNC	Hecarim,Rumble,Ryze	Draven,Azir,Kalista	Ekko	Jayce,Morgana	Vladimir,Caitlyn	Sivir,Alistar	Lulu,Olaf	Viktor	2	5.11		L85TEf-_b0c	EU
4	2	GMB	UOL	Morgana,Maokai,Cassiopeia	Azir,Gragas,Fizz	Rek'Sai	Lucian,Bard	Hecarim,Lulu	Sivir,Alistar	Shen,Nidalee	Orianna	2	5.11		B2KRO4VRq2g	EU
4	2	OG	EL	Ryze,Alistar,Ekko	Rumble,Kalista,Gragas	Sivir	Nunu,Vladimir	Fizz,Annie	Hecarim,Rek'Sai	Corki,Morgana	Azir	1	5.11		ZLIu2Pyoj0c	EU
5	1	ROC	CW	Draven,Shen,Vladimir	Lee Sin,Jayce,Azir	Kalista	Ekko,Gragas	Varus,Janna	Cassiopeia,Alistar	Rek'Sai,Sivir	Maokai	1	5.11		CzfZSg-BQrU	EU
5	1	UOL	GIA	Jax,Gragas,Kalista	Ryze,Sivir,Rek'Sai	Morgana	Shen,Jinx	Lee Sin,Syndra	Kog'Maw,Janna	Shyvana,Ezreal	Wukong	2	5.11		h6bPxFf4ehQ	EU
5	1	OG	GMB	Fizz,Yasuo,Shen	Sivir,Rumble,Morgana	Alistar	Rek'Sai,Kalista	Lulu,Vladimir	Nidalee,Corki	Ahri,Taric	Hecarim	1	5.11		iPGs4pHo4wA	EU
5	1	FNC	H2K	Thresh,Fizz,Ekko	Kalista,Azir,Riven	Sivir	Olaf,Jayce	Ryze,Janna	Rumble,Alistar	Rek'Sai,Corki	Varus	1	5.11		hQipv86VdgY	EU
5	1	EL	SK	Cassiopeia,Lulu,Vayne	Azir,Vladimir,Thresh	Kalista	Rek'Sai,Alistar	Gnar,Kog'Maw	Gragas,Ekko	Shen,Sivir	Morgana	1	5.11		VkjA9gs9cW4	EU
5	2	FNC	GMB	Fizz,Shen,Ahri	Rek'Sai,Ryze,Olaf	Gragas	Ekko,Kalista	Jayce,Janna	Azir,Sivir	Hecarim,Lee Sin	Annie	1	5.11		wFmCDWM9s7Q	EU
5	2	ROC	UOL	Morgana,Shen,Ryze	Jayce,Fizz,Kalista	Sivir	Ekko,Varus	Rek'Sai,Janna	Gragas,Alistar	Maokai,Jinx	Cassiopeia	1	5.11		uGuw71fzeNM	EU
5	2	CW	OG	Vladimir,Thresh,Azir	Shen,Kalista,Sivir	Alistar	Lulu,Draven	Rengar,Orianna	Ekko,Corki	Gragas,Janna	Varus	2	5.11		BFOT47BpMrk	EU
5	2	GIA	EL	Vladimir,Ekko,Kalista	Morgana,Jax,Kog'Maw	Sivir	Rek'Sai,Thresh	Shyvana,Orianna	Gragas,Alistar	Gnar,Corki	Azir	2	5.11		3XZKjhK5PoA	EU
5	2	H2K	SK	Cassiopeia,Shen,Ekko	Kalista,Sivir,Thresh	Corki	Rek'Sai,Jayce	Ryze,Janna	Gnar,Gragas	Caitlyn,Lulu	Azir	2	5.11		-y_FWjsRJX8	EU
6	1	GMB	CW	Kalista,Nidalee,Draven	Hecarim,NOBAN,NOBAN	Sivir	Gragas,Jayce	Fizz,Janna	Maokai,Morgana	Lee Sin,Corki	Varus	1	5.12		HzAKoNGAMwI	EU
6	1	ROC	SK	Lulu,Gnar,Rek'Sai	Kalista,Azir,Jayce	Sivir	Gragas,Nautilus	Maokai,Varus	Shen,Ekko	Cassiopeia,Tristana	Morgana	1	5.12		x8mhPhi628w	EU
6	1	GIA	FNC	Jayce,Rumble,Sivir	Jax,Morgana,Thresh	Alistar	Gragas,Ezreal	Shen,Corki	Rek'Sai,Janna	Lulu,Kalista	Azir	2	5.12		AGvK1TE3QZ4	EU
6	1	UOL	OG	Kalista,Lulu,Gragas	Morgana,Fizz,Sivir	Rek'Sai	Corki,Braum	Ryze,Varus	Jayce,Alistar	Ekko,Vayne	Lee Sin	1	5.12		0aCk2c8-RZo	EU
6	1	EL	H2K	Rumble,Fizz,Kalista	Master Yi,Ryze,Sivir	Corki	Ekko,Nautilus	Vladimir,Hecarim	Gnar,Thresh	Gragas,Jinx	Orianna	2	5.12		XMpRYa6JvyE	EU
6	2	SK	GIA	Morgana,Jax,Thresh	Lulu,Gnar,Alistar	Kalista	Rek'Sai,Nautilus	Shen,Jayce	Gragas,Ezreal	Ryze,Janna	Urgot	2	5.12		k-fnVMEFHwQ	EU
6	2	ROC	GMB	Kalista,Varus,Viktor	Fizz,Sivir,Ryze	Jayce	Gragas,Alistar	Shen,Ezreal	Corki,Rek'Sai	Azir,Nautilus	Maokai	1	5.12		jxgFTBAVSJg	EU
6	2	FNC	CW	Draven,Nidalee,Lee Sin	Ryze,Hecarim,Jayce	Kalista	Rumble,Rek'Sai	Viktor,Thresh	Sivir,Alistar	Azir,Shen	Vi	2	5.12		WCQZS8salWk	EU
6	2	EL	OG	Kalista,Lulu,Gragas	Master Yi,Sivir,Ryze	Rek'Sai	Gnar,Alistar	Vladimir,Kog'Maw	Ekko,Corki	Rumble,Thresh	Varus	2	5.12		22NfFtydCiY	EU
6	2	H2K	UOL	Morgana,Kog'Maw,Ryze	Lulu,Kalista,Sivir	Thresh	Rumble,Gragas	Jayce,Jinx	Rek'Sai,Corki	Gnar,Orianna	Braum	1	5.12		-3p_Dtckb8M	EU
7	1	CW	UOL	Ryze,Sivir,Morgana	Draven,Kalista,Nidalee	Gragas	Lulu,Nautilus	Viktor,Graves	Corki,Alistar	Lee Sin,Kog'Maw	Shen	2	5.12		pnt_lYHuuCI	EU
7	1	ROC	EL	Gragas,Fizz,Rek'Sai	Azir,Varus,Kalista	Ryze	Ekko,Graves	Jayce,Annie	Nautilus,Sivir	Evelynn,Thresh	Twisted Fate	2	5.12		a6Nr2ueobzw	EU
7	1	OG	GIA	Jax,Ezreal,Morgana	Vladimir,Kalista,Alistar	Sivir	Ryze,Rek'Sai	Diana,Nautilus	Gragas,Janna	Rumble,Tristana	Yasuo	1	5.12		P2XYnlJf0E4	EU
7	1	H2K	FNC	Olaf,Ryze,Rek'Sai	Thresh,Kalista,Sivir	Gragas	Gnar,Shen	Viktor,Lucian	Rumble,Corki	Rengar,Alistar	Jayce	2	5.12		Q_S4fdl3_Cc	EU
7	1	SK	GMB	Ryze,Azir,Sivir	Kalista,Shen,Rek'Sai	Ezreal	Nautilus,Ekko	Viktor,Lulu	Gragas,Corki	Yasuo,Alistar	Orianna	2	5.12		_7PpFutJsno	EU
7	2	ROC	H2K	Gragas,Fizz,Rek'Sai	Azir,Ryze,Nidalee	Kalista	Lee Sin,Thresh	Maokai,Viktor	Rumble,Olaf	Sivir,Annie	Jayce	1	5.12		B28FkzMTh10	EU
7	2	GMB	GIA	Jax,Kalista,Ezreal	Jayce,Fizz,Sivir	Ryze	Azir,Alistar	Gragas,Graves	Rek'Sai,Morgana	Varus,Jinx	Galio	2	5.12		FQWd_rVszmE	EU
7	2	UOL	EL	Master Yi,Twisted Fate,Kalista	Varus,Kog'Maw,Morgana	Sivir	Shen,Ezreal	Elise,Alistar	Ryze,Thresh	Nautilus,Evelynn	Twitch	1	5.12		1jMfg0HsxiQ	EU
7	2	FNC	OG	Thresh,Alistar,Varus	Rek'Sai,Olaf,Sivir	Kalista	Lulu,Janna	Nunu,Viktor	Ryze,Gragas	Corki,Nautilus	Twisted Fate	1	5.12		hZezP78yN_I	EU
7	2	SK	CW	Draven,Nidalee,Azir	Gnar,Kalista,Ezreal	Sivir	Nautilus,Gragas	Irelia,Lulu	Shen,Alistar	Viktor,Corki	Rek'Sai	1	5.12		GzQ045p8054	EU
8	1	GIA	H2K	Rumble,Thresh,Sivir	Jax,Morgana,Ezreal	Ryze	Rek'Sai,Nautilus	Jayce,Jinx	Kalista,Alistar	Shen,Gragas	Ahri	2	5.13	Tahm Kench Disabled for Week 8	JIrd44ztJZE	EU
8	1	CW	EL	Vladimir,Evelynn,Ryze	Draven,Nidalee,Sivir	Kalista	Lee Sin,Morgana	Shen,Azir	Rek'Sai,Thresh	Rumble,Corki	Varus	2	5.13	Tahm Kench Disabled for Week 8	kwGmbDW-yws	EU
8	1	UOL	SK	Lulu,Rek'Sai,Sivir	Ryze,Morgana,Gragas	Lee Sin	Rumble,Jinx	Ezreal,Thresh	Corki,Shen	Gnar,Nidalee	Jayce	2	5.13	Tahm Kench Disabled for Week 8	c-IQOhPfiWg	EU
8	1	GMB	OG	Vladimir,Rumble,Varus	Sivir,Ryze,Gangplank	Alistar	Nidalee,Jayce	Shen,Lucian	Rek'Sai,Corki	Viktor,Braum	Nautilus	1	5.13	Tahm Kench Disabled for Week 8	RfHkWgghqs4	EU
8	1	ROC	FNC	Jayce,Kalista,Viktor	Sivir,Ryze,Azir	Rumble	Gragas,Caitlyn	Varus,Janna	Rek'Sai,Corki	Riven,Alistar	Twisted Fate	2	5.13	Tahm Kench Disabled for Week 8	2PkhUJ0V5kE	EU
8	2	GIA	ROC	Kalista,Rumble,Sivir	Jax,Morgana,Ryze	Corki	Gragas,Alistar	Shyvana,Varus	Rek'Sai,Nautilus	Maokai,Kog'Maw	Viktor	2	5.13	Tahm Kench Disabled for Week 8	ddLAHG5Q9Qw	EU
8	2	H2K	CW	Draven,Nidalee,Lee Sin	Ryze,Sivir,Kalista	Rek'Sai	Corki,Alistar	Shen,Viktor	Rumble,Thresh	Elise,Caitlyn	Irelia	2	5.13	Tahm Kench Disabled for Week 8	wHz7MxQOqVQ	EU
8	2	OG	SK	Nidalee,Jayce,Azir	Ryze,Sivir,Rek'Sai	Gragas	Rumble,Corki	Varus,Thresh	Shen,Viktor	Gnar,Lee Sin	Kog'Maw	1	5.13	Tahm Kench Disabled for Week 8	HIBV7CVctcg	EU
8	2	EL	FNC	Rek'Sai,Jayce,Rumble	Sivir,Evelynn,Ryze	Corki	Shen,Nidalee	Varus,Janna	Gragas,Alistar	Jarvan IV,Tristana	Viktor	2	5.13	Tahm Kench Disabled for Week 8	ezfAL3pcfDI	EU
8	2	UOL	GMB	Fizz,Nidalee,Jayce	Ryze,Shen,Sivir	Alistar	Jarvan IV,Corki	Maokai,Orianna	Rek'Sai,Gragas	Ahri,Lucian	Gangplank	1	5.13	Tahm Kench Disabled for Week 8	gZcV-fyoGE4	EU
9	1	CW	ROC	Fizz,Varus,Viktor	Draven,Ryze,Thresh	Kalista	Shen,Nidalee	Irelia,Morgana	Rumble,Alistar	Gragas,Sivir	Azir	1	5.13		rfcVft1dgyE	EU
9	1	GIA	UOL	Orianna,Shen,Alistar	Ryze,Jayce,Morgana	Sivir	Rek'Sai,Thresh	Jax,Viktor	Gragas,Graves	Maokai,Annie	Syndra	2	5.13		--WtYWv97hg	EU
9	1	SK	FNC	Ryze,Alistar,Rumble	Sivir,Shen,Tahm Kench	Corki	Gragas,Lulu	Maokai,Jayce	Rek'Sai,Tristana	Fizz,Trundle	Twisted Fate	2	5.13		RrwKiVwjz4M	EU
9	1	H2K	OG	Vladimir,Varus,Alistar	Sivir,Ryze,Rumble	Thresh	Fizz,Gragas	Twisted Fate,Kalista	Rek'Sai,Corki	Lulu,Shen	Viktor	2	5.13		sYc-IbktS7k	EU
9	1	EL	GMB	Nidalee,Fizz,Jayce	Twisted Fate,Ryze,Shen	Sivir	Rumble,Rek'Sai	Kog'Maw,Thresh	Varus,Alistar	Gragas,Corki	Kennen	1	5.13		nuEHOG8KmVY	EU
9	2	CW	GIA	Morgana,Jax,Fizz	Kalista,Draven,Irelia	Sivir	Shen,Thresh	Elise,Viktor	Ryze,Alistar	Gragas,Ezreal	Varus	2	5.13		E4f_7ri93eQ	EU
9	2	GMB	H2K	Kalista,Thresh,Shen	Nidalee,Ryze,Sivir	Fizz	Rek'Sai,Corki	Jayce,Morgana	Gragas,Alistar	Rumble,Tristana	Ahri	2	5.13		aAA4FC-wfN0	EU
9	2	SK	EL	Ryze,Kog'Maw,Twisted Fate	Nidalee,Shen,Sivir	Corki	Tahm Kench,Gragas	Irelia,Nautilus	Rek'Sai,Varus	Rumble,Alistar	Kalista	1	5.13		Dwubngn-N-4	EU
9	2	OG	ROC	Azir,Jayce,Thresh	Viktor,Ryze,Corki	Sivir	Rek'Sai,Shen	Fizz,Twisted Fate	Nidalee,Alistar	Maokai,Kalista	Yasuo	2	5.13		egoTKpJa8rA	EU
9	2	FNC	UOL	Shen,Orianna,Syndra	Jayce,Rek'Sai,Janna	Ryze	Gragas,Trundle	Corki,Varus	Sivir,Alistar	Poppy,Rengar	Kog'Maw	1	5.13		81ye1YFfxdU	EU
9	3	GIA	ROC	Alistar,Maokai,Nidalee	Jax,Ryze,Morgana	Kalista	Rek'Sai,Bard	Galio,Varus	Rumble,Thresh	Gragas,Corki	Yasuo	2	5.13		uAS4NMKQpLQ	EU
1	1	C9	TSM	LeBlanc,Kalista,Hecarim	Alistar,Sejuani,Ashe	Rumble	Gragas,Kog'Maw	Sivir,Nautilus	Urgot,Thresh	Maokai,Rek'Sai	Viktor	1	5.9		_5ZfxTmeM0A	NA
1	1	TDK	TL	NOBAN,NOBAN,NOBAN	Kog'Maw,Nidalee,Evelynn	Thresh	Rek'Sai,Corki	Rumble,Azir	Gragas,Kalista	Cassiopeia,Annie	Gnar	2	5.9		4TGWdEDkIIk	NA
