Tag	Name	Picture
OG	Origen	pics/OG.png
H2K	H2K	pics/H2K.png
FNC	Fnatic	pics/FNC.png
EL	Elements	pics/EL.png
SK	SK Gaming	pics/SK.png
UOL	Unicorns of Love	pics/UOL.png
CW	Copenhagen Wolves	pics/CW.png
ROC	ROCCAT	pics/ROC.png
GMB	Gambit Gaming	pics/GMB.png
GIA	Giants Gaming	pics/GIA.png
T8	Team 8	pics/T8.png
C9	Cloud 9	pics/C9.png
CLG	Counter Logic Gaming	pics/CLG.png
TSM	Team SoloMid	pics/TSM.png
NME	Enemy	pics/NME.png
DIG	Dignitas	pics/DIG.png
TL	Team Liquid	pics/TL.png
GV	Gravity	pics/GV.png
TIP	Team Impulse	pics/TIP.png
TDK	Team Dragon Knights	pics/TDK.png